Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Armenia,82,404,596,727,809,889,965,1015,1095,1160,1176,1168,1032,956,930,929,869,859,857,899,945,830,,,,,,,,,
Austria,-77,-82,13,100,349,323,330,328,377,404,408,537,601,738,850,881,807,637,515,371,228,25,-90,-227,-407,-560,-591,,,,
Belgium,-96,-53,-81,-211,-197,-380,-434,-502,-631,-786,-920,-720,119,1799,3744,5115,5828,5940,6035,5803,5612,5345,4908,4584,4183,3942,3511,2991,2624,,
Bulgaria,-311,-444,-667,-682,-665,-730,-833,-1062,-1259,-1582,-1858,-2158,-2408,-2683,-2956,-3223,-3510,-3872,-4202,-4347,-4676,-5079,-5365,-5609,-5868,-6128,-6154,-6273,-6590,-6773,
Czechia,8,51,24,82,157,209,286,309,341,309,290,303,288,313,266,115,-117,-257,-498,-691,-994,-1272,-1380,-1681,,,,,,,
Denmark,-25,-3,-51,-136,-160,-196,-256,-340,-437,-496,-549,-526,-530,-485,-447,-472,-484,-531,-595,-727,-808,-914,-1020,-1086,-1196,-1273,-1330,-1421,-1443,-1558,
Estonia,-45,-50,-65,-95,-117,-174,-182,-178,-194,-230,-221,-238,-238,-251,-261,-275,-270,-286,-290,-318,-355,-368,-411,-441,-478,-497,-534,-572,-602,-632,
Finland,-63,-103,-152,-210,-233,-211,-204,-203,-244,-232,-216,-182,-157,-130,-29,-12,53,109,113,149,45,-26,-98,-148,-131,-170,-229,-361,-448,-790,
France,-220,-43,-402,-943,-1257,-1672,-2226,-3160,-3896,-4472,-4591,-3253,370,6630,11667,14647,15099,14125,13003,11664,10777,9269,7771,6347,5007,4379,2614,1081,-1126,,
Georgia,-714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,-380,-356,-617,-1168,-1033,-1745,-1960,-2949,-3542,-4068,-4395,-4816,-5176,-4523,-3918,-4412,-5529,-7149,-8942,-11274,-13310,-15661,-17436,-19809,-22310,-23933,-26423,,,,
Hungary,-152,-305,-455,-482,-450,-599,-642,-850,-862,-1046,-1250,-1222,-1390,-1608,-1762,-1966,-2305,-2735,-3102,-3401,-3919,-4345,-4561,-4899,-5431,-5779,-6082,,,,
Iceland,9,17,23,33,27,29,33,36,34,39,37,31,29,35,40,57,48,48,42,40,47,54,46,41,28,16,0,-40,,,
Italy,-1594,-2862,-4037,-5136,-6282,-7607,-8764,-10191,-11070,-10864,-7166,103,8706,14528,18541,20492,20639,19523,17913,15710,13010,9829,,,,,,,,,
Latvia,-19,-45,-117,-174,-234,-312,-377,-442,-603,-864,-955,-992,-1065,-1103,-1209,-1231,-1291,-1347,-1356,-1420,-1444,-1519,-1591,-1636,-1707,-1796,-1757,-1854,-1914,,-2535
Liechtenstein,-3,-5,-4,-2,-5,-2,3,4,4,4,2,2,3,5,6,1,1,3,4,6,3,2,1,0,-1,-5,-3,-6,-7,,
Lithuania,-282,-311,-372,-462,-527,-644,-693,-837,-904,-933,-1091,-1098,-1171,-1207,-1276,-1357,-1402,-1547,-1571,-1680,-1770,-1869,-1942,-1939,-1985,-1991,-2040,-2159,-2238,-2328,-2499
Luxembourg,-20,-18,-12,-9,-7,-2,-19,-20,-32,-28,-23,-20,6,11,43,48,48,34,41,36,33,31,23,12,10,-1,,,,,
Montenegro,-22,-52,-57,-72,-80,-75,-88,-90,-117,-122,-149,-165,-156,-179,-196,-221,-255,-278,-315,-337,-354,-373,,,,,,,,,
Netherlands,24,285,351,311,385,489,593,451,448,447,570,1095,2470,4477,6380,7616,8471,8817,8782,8558,8342,8095,7825,7576,7339,7083,6794,,,,
Norway,-51,-6,-65,-89,-157,-240,-260,-324,-360,-432,-475,-533,-539,-564,-578,-615,-685,-775,-873,-1017,-1105,-1266,-1409,-1506,-1589,-1737,-1888,-2088,-2347,,
Poland,162,195,63,-120,194,273,610,805,1004,1103,1262,1350,1290,1102,947,1017,680,404,-16,-415,-786,-1065,,,,,,,,,
Portugal,-99,-55,93,146,221,105,-209,-430,-691,-1054,-1224,-1279,-1203,-993,-809,-819,-885,-1074,-1238,-1491,-1720,-1663,-1896,-2266,-2551,-2649,-2832,-2839,-2452,,
Slovakia,-22,-30,-63,-77,-45,-74,-24,-65,-45,-48,-58,8,-52,-79,-190,-334,-454,-578,-674,-778,-906,-1075,-1223,-1362,-1565,-1749,-2558,,,,
Slovenia,7,14,23,53,98,116,184,191,188,179,183,197,158,-158,,,,,,,,,,,,,,,,,
Spain,-281,-18,645,818,1039,1043,648,-182,-1455,-2008,-1851,1746,11892,23480,31675,35828,37270,37287,37127,36029,35071,33735,32456,30962,29716,28779,27421,26808,26011,,
Sweden,-123,-168,-269,-453,-514,-690,-767,-897,-1030,-1113,-1286,-1320,-1173,-679,3,645,1034,1407,1729,1868,1951,1781,1713,1629,1499,1376,1157,929,624,176,
Switzerland,-82,-121,-111,-98,-77,-97,-124,-171,-242,-301,-322,-198,17,494,743,930,927,814,640,443,289,51,-108,-291,-470,-623,-783,-946,-1197,-1497,
