Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Armenia,123,182,71,32,24,17,34,11,85,135,-76,-8,-145,-29,-2,21,-21,24,12,30,83,-52,179,178,179,189,,,,,,,,
Austria,-200,-155,11,32,128,-157,-92,-105,-48,-10,7,238,118,243,248,180,118,15,79,25,58,-2,78,17,4,35,120,2,-29,-50,,,,
Belgium,-165,-52,-118,-227,-155,-327,-224,-196,-309,-243,-124,225,955,1898,2186,1646,996,398,349,54,94,42,-88,27,-120,59,-264,-195,-74,-212,30,99,,
Bulgaria,-483,-302,-353,-120,-35,28,2,-132,-108,-232,-136,-132,-79,-106,-60,-59,-85,-131,-129,104,-94,-161,-17,-4,-55,-65,223,85,-48,-12,174,88,72,
Czechia,-65,-32,-150,-58,-49,-119,-116,-162,-118,-128,-36,51,85,150,119,50,-85,79,-34,36,-84,-115,161,8,62,93,49,,,,,,,
Denmark,-5,34,-32,-74,-62,-61,-110,-122,-160,-110,-94,16,23,97,73,50,99,9,8,-24,26,-5,-13,21,-23,46,51,12,64,-41,11,-42,,
Estonia,-49,-14,-15,-36,-32,-67,0,-5,-20,-41,15,0,11,13,10,10,41,15,28,-16,-9,26,-9,10,1,26,8,3,9,14,30,-6,8,
Finland,-120,-112,-115,-88,-65,-8,-1,-5,-72,-2,2,34,44,30,133,37,123,89,80,130,-6,35,13,46,92,57,40,-21,43,-55,-42,-330,,
France,-720,-384,-634,-735,-552,-782,-772,-1049,-907,-473,494,2181,4526,7410,6359,4368,1867,498,378,191,562,149,121,234,-13,613,-925,-226,-1163,,,,,
Germany,-466,-160,-357,-920,-582,-1308,-1030,-2066,-2076,-1668,-598,148,731,2135,2578,1876,1094,898,273,67,524,-99,726,529,-261,594,-168,-96,-535,-1058,,,,
Hungary,-276,-336,-343,-297,-257,-434,-234,-371,-114,-207,-132,165,-2,13,94,78,-81,-119,-22,71,-168,-97,129,-11,-189,41,20,-171,-232,-310,,,,
Iceland,11,7,8,10,-7,-1,2,2,-1,5,-3,-3,-5,7,5,11,-9,3,-5,-1,6,7,-11,-1,-7,-13,-8,8,3,-10,-1,-2,-3,-31
Italy,-1964,-1672,-1355,-899,-944,-785,-552,-682,-137,1169,4989,9079,10457,7864,6165,4158,2440,1204,637,303,-330,-590,-786,-1198,-775,-131,,,,,,,,
Latvia,-15,-32,-93,-62,-56,-56,-62,-80,-182,-139,-81,-38,-67,-22,-84,21,-13,22,37,-10,35,-21,1,47,-30,-21,109,-39,-28,-3,4,-15,17,53
Liechtenstein,-5,-1,-1,2,-3,3,5,1,0,-1,-4,-2,3,2,2,-4,1,1,3,2,-2,-1,-1,0,-1,-3,3,-4,0,-5,-3,,,
Lithuania,-325,-67,-137,-148,-119,-156,-63,-177,-72,-14,-123,39,-14,12,-16,-26,28,-61,42,-19,-43,-29,2,104,53,72,58,-20,15,-32,-73,114,67,
Luxembourg,-24,-8,3,-2,-9,-7,-28,-5,-14,-11,9,3,26,6,44,10,10,-3,19,6,2,10,-1,-6,11,-1,,,,,,,,
Montenegro,-13,-34,-10,-13,-9,16,1,-6,-26,-3,-8,-9,29,-22,0,-8,-25,-11,-15,-1,1,-1,,,,,,,,,,,,
Netherlands,-180,10,-136,-293,-150,-98,-136,-432,-215,-238,24,544,1415,2172,2127,1465,1107,646,197,47,44,8,35,55,67,-6,-114,-39,-162,,,,,
Norway,-64,30,-72,-23,-80,-66,-19,-55,-39,-70,-4,-13,73,32,53,47,-6,10,0,-40,7,-54,-39,4,10,-56,-65,-60,11,-13,12,-55,-139,
Poland,-66,-276,-483,-601,-318,-478,-258,-320,-319,-270,-4,40,-3,30,182,570,119,329,284,382,272,388,591,536,226,355,,,,,,,,
Portugal,-296,-154,-97,-164,-9,-171,-369,-152,-164,-164,67,219,375,465,495,373,315,182,241,94,139,409,136,-12,-51,255,199,333,723,,,,,
Slovakia,-78,-59,-120,-60,-70,-100,-14,-107,-48,-27,5,101,-3,59,-59,-57,-41,-21,25,22,-25,-64,-16,-60,-112,-69,-708,,,,,,,
Slovenia,-23,-30,-37,-21,-13,-12,37,-14,-30,13,-5,24,-37,-295,,,,,,,,,,,,,,,,,,,,
Spain,-966,-674,-354,-522,-356,-320,-579,-851,-1121,-168,769,4431,10945,12534,9240,5337,2656,1316,1032,53,218,-66,-125,-329,-319,32,-662,133,208,451,637,,,
Sweden,-156,-63,-120,-194,-40,-163,-102,-215,-198,-90,-170,65,216,579,821,763,572,588,543,414,355,93,210,196,130,106,-18,-1,-66,-33,-56,-3,-130,
Switzerland,-160,-123,-83,-49,-48,-121,-128,-145,-181,-94,-3,183,325,563,395,330,161,15,-26,-33,-30,-73,-10,-14,-50,-49,-55,-53,-160,-153,-79,,,
