Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Armenia,123,496,730,895,1006,1110,1209,1279,1381,1469,1505,1514,1391,1326,1309,1319,1267,1266,1273,1323,1379,1272,1431,1563,1694,1847,,,,,,,,
Austria,-200,-331,-351,-372,-229,-358,-447,-541,-585,-646,-726,-670,-677,-606,-555,-581,-707,-927,-1096,-1283,-1467,-1706,-1858,-2031,-2243,-2424,-2478,-2700,-2855,-3008,,,,
Belgium,-165,-196,-306,-528,-609,-892,-1047,-1215,-1448,-1706,-1941,-1839,-1085,526,2422,3754,4437,4521,4589,4329,4114,3824,3367,3025,2610,2360,1920,1400,1054,666,419,240,,
Bulgaria,-483,-790,-1177,-1338,-1443,-1596,-1765,-2053,-2307,-2681,-3004,-3346,-3636,-3950,-4256,-4554,-4877,-5270,-5632,-5804,-6160,-6588,-6895,-7160,-7441,-7727,-7773,-7908,-8234,-8418,-8420,-8530,-8722,
Czechia,-65,-108,-235,-278,-299,-344,-369,-449,-526,-666,-786,-871,-974,-1033,-1151,-1371,-1669,-1869,-2171,-2429,-2787,-3116,-3238,-3500,-3706,-3859,-4025,,,,,,,
Denmark,-5,25,-18,-101,-132,-175,-246,-343,-458,-538,-616,-618,-646,-624,-608,-653,-682,-746,-827,-974,-1070,-1190,-1312,-1392,-1516,-1606,-1673,-1774,-1806,-1919,-1990,-2121,,
Estonia,-49,-62,-86,-125,-156,-221,-236,-238,-262,-305,-302,-323,-327,-344,-358,-375,-373,-391,-395,-425,-465,-481,-524,-557,-595,-615,-652,-689,-715,-723,-728,-750,-765,
Finland,-120,-225,-341,-463,-547,-582,-628,-675,-763,-794,-819,-823,-836,-847,-781,-796,-762,-736,-760,-748,-877,-969,-1061,-1132,-1136,-1186,-1254,-1382,-1427,-1553,-1697,-2140,,
France,-720,-1042,-1868,-2858,-3609,-4461,-5432,-6777,-7907,-8862,-9329,-8298,-4934,1143,6054,8940,9309,8250,7043,5618,4646,3054,1477,-22,-1442,-2153,-4011,-5639,-7945,,,,,
Germany,-466,-499,-817,-1459,-1411,-2232,-2574,-3729,-4512,-5236,-5747,-6330,-6843,-6289,-5734,-6258,-7375,-8986,-10757,-13069,-15072,-17381,-19099,-21389,-23790,-25243,-27485,-29982,-32123,-33981,,,,
Hungary,-276,-596,-924,-1140,-1301,-1646,-1876,-2267,-2454,-2800,-3152,-3257,-3548,-3879,-4136,-4432,-4859,-5371,-5814,-6184,-6768,-7252,-7517,-7876,-8440,-8815,-9170,-9643,-10168,-10664,,,,
Iceland,11,19,25,35,28,29,32,34,31,34,30,24,21,25,29,43,33,31,23,19,24,30,19,14,-1,-11,-20,-18,-20,-29,-37,-44,-51,-82
Italy,-1964,-3534,-4978,-6310,-7667,-9164,-10474,-12009,-12972,-12804,-9040,-1528,7455,13752,18254,20700,21349,20722,19612,17985,15900,13417,11077,8303,5906,4274,,,,,,,,
Latvia,-15,-44,-126,-193,-259,-339,-406,-473,-641,-775,-875,-921,-1003,-1051,-1167,-1197,-1264,-1326,-1341,-1409,-1438,-1516,-1592,-1639,-1714,-1806,-1769,-1867,-1929,-1997,-2058,-2153,-2198,-2203
Liechtenstein,-5,-8,-9,-7,-11,-8,-4,-3,-4,-3,-6,-7,-5,-4,-3,-8,-8,-7,-6,-4,-7,-8,-10,-11,-12,-15,-13,-16,-17,-21,-22,,,
Lithuania,-325,-386,-489,-618,-721,-873,-954,-1129,-1226,-1285,-1469,-1499,-1594,-1648,-1731,-1825,-1881,-2035,-2067,-2182,-2279,-2384,-2463,-2465,-2514,-2524,-2575,-2695,-2774,-2864,-3035,-2994,-3018,
Luxembourg,-24,-28,-27,-30,-33,-35,-58,-66,-84,-86,-87,-89,-68,-69,-42,-41,-45,-63,-60,-68,-75,-80,-91,-105,-110,-124,,,,,,,,
Montenegro,-13,-42,-47,-62,-70,-66,-78,-81,-108,-114,-142,-159,-150,-174,-191,-217,-252,-276,-314,-336,-355,-375,,,,,,,,,,,,
Netherlands,-180,-134,-289,-561,-715,-833,-949,-1315,-1542,-1764,-1860,-1539,-353,1484,3238,4341,5072,5301,5153,4816,4491,4139,3765,3414,3078,2729,2359,1971,1495,,,,,
Norway,-64,-37,-119,-165,-256,-357,-396,-475,-527,-617,-676,-749,-765,-799,-820,-860,-936,-1027,-1129,-1276,-1365,-1527,-1669,-1756,-1832,-1961,-2082,-2225,-2290,-2377,-2464,-2592,-2811,
Poland,-66,-337,-799,-1328,-1382,-1684,-1741,-1962,-2195,-2531,-2796,-3116,-3572,-4137,-4653,-4923,-5585,-6174,-6893,-7576,-8225,-8742,-9046,-9380,-10021,-10651,,,,,,,,
Portugal,-296,-444,-502,-662,-778,-1072,-1550,-1916,-2310,-2793,-3073,-3230,-3250,-3129,-3027,-3116,-3254,-3513,-3742,-4060,-4351,-4353,-4645,-5073,-5417,-5571,-5806,-5860,-5518,,,,,
Slovakia,-78,-137,-229,-299,-327,-416,-425,-526,-566,-628,-695,-679,-788,-860,-1013,-1197,-1354,-1512,-1641,-1775,-1932,-2128,-2302,-2465,-2692,-2899,-3730,,,,,,,
Slovenia,-23,-46,-71,-77,-68,-85,-50,-74,-106,-141,-162,-173,-235,-576,,,,,,,,,,,,,,,,,,,,
