Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Armenia,123,373,234,165,111,105,99,70,102,88,35,10,-123,-65,-16,9,-52,-1,7,50,56,-107,159,132,131,153,,,,,,,,
Austria,-200,-131,-20,-21,143,-129,-89,-94,-44,-62,-79,55,-6,71,51,-26,-126,-220,-168,-187,-183,-240,-152,-173,-212,-181,-54,-222,-155,-154,,,,
Belgium,-165,-31,-110,-222,-80,-283,-156,-168,-233,-257,-235,102,754,1612,1895,1332,683,83,68,-260,-215,-290,-457,-342,-415,-250,-440,-520,-346,-387,-247,-179,,
Bulgaria,-483,-308,-387,-161,-105,-153,-169,-287,-254,-374,-323,-342,-290,-314,-306,-298,-322,-393,-362,-172,-355,-429,-307,-265,-281,-286,-47,-134,-326,-184,-3,-110,-192,
Czechia,-65,-43,-127,-43,-21,-46,-25,-80,-77,-140,-120,-85,-103,-59,-119,-220,-297,-200,-302,-258,-359,-329,-122,-262,-206,-152,-166,,,,,,,
Denmark,-5,31,-43,-84,-31,-43,-71,-97,-115,-80,-78,-2,-28,23,16,-45,-30,-64,-81,-147,-96,-121,-122,-80,-124,-90,-67,-102,-31,-113,-71,-131,,
Estonia,-49,-13,-24,-39,-31,-65,-15,-3,-24,-43,4,-21,-4,-18,-14,-17,2,-18,-4,-30,-40,-16,-43,-33,-38,-20,-37,-38,-25,-9,-4,-22,-15,
Finland,-120,-105,-116,-122,-84,-36,-46,-47,-88,-31,-25,-4,-13,-11,67,-15,34,26,-24,12,-130,-92,-93,-71,-4,-50,-68,-128,-44,-127,-144,-443,,
France,-720,-322,-826,-990,-751,-852,-971,-1345,-1131,-954,-467,1030,3364,6077,4911,2886,369,-1059,-1208,-1425,-972,-1592,-1577,-1499,-1420,-711,-1858,-1628,-2306,,,,,
Germany,-466,-33,-318,-643,49,-822,-341,-1155,-783,-724,-511,-583,-513,554,555,-523,-1117,-1612,-1770,-2313,-2003,-2309,-1717,-2291,-2401,-1453,-2243,-2497,-2141,-1858,,,,
Hungary,-276,-320,-327,-216,-161,-344,-230,-391,-187,-346,-352,-105,-291,-330,-257,-296,-427,-512,-443,-370,-584,-484,-265,-360,-564,-374,-355,-473,-525,-496,,,,
Iceland,11,8,6,9,-7,1,3,2,-3,3,-4,-6,-3,5,4,15,-10,-2,-8,-4,5,5,-11,-5,-14,-10,-9,2,-2,-9,-9,-6,-7,-30
Italy,-1964,-1570,-1445,-1332,-1356,-1497,-1310,-1536,-963,169,3764,7513,8983,6297,4502,2446,650,-627,-1110,-1627,-2085,-2483,-2340,-2775,-2396,-1632,,,,,,,,
Latvia,-15,-29,-83,-66,-66,-80,-67,-68,-167,-134,-100,-46,-82,-48,-116,-30,-67,-62,-14,-68,-29,-78,-76,-48,-75,-92,37,-98,-62,-68,-61,-95,-45,-5
Liechtenstein,-5,-3,-1,2,-5,3,5,1,0,0,-3,-1,1,1,1,-4,0,2,1,2,-3,-1,-1,-1,-1,-3,2,-3,-1,-4,-1,,,
Lithuania,-325,-61,-103,-129,-103,-153,-81,-175,-98,-59,-184,-30,-95,-54,-84,-93,-56,-154,-32,-115,-97,-105,-78,-2,-50,-9,-51,-120,-79,-90,-171,42,-25,
Luxembourg,-24,-4,0,-3,-3,-2,-24,-7,-18,-2,-1,-2,21,0,27,0,-4,-18,3,-8,-7,-5,-11,-14,-5,-14,,,,,,,,
Montenegro,-13,-29,-5,-15,-8,5,-13,-2,-27,-6,-28,-17,9,-23,-17,-26,-35,-24,-38,-22,-18,-20,,,,,,,,,,,,
Netherlands,-180,46,-155,-272,-155,-118,-116,-366,-227,-222,-96,321,1186,1837,1754,1102,731,229,-148,-336,-325,-353,-374,-350,-336,-350,-370,-387,-476,,,,,
Norway,-64,27,-81,-47,-91,-101,-39,-79,-52,-90,-59,-73,-16,-34,-21,-41,-75,-91,-102,-147,-88,-162,-143,-87,-76,-129,-121,-143,-65,-88,-87,-128,-218,
Poland,-66,-271,-463,-529,-54,-302,-57,-221,-233,-336,-265,-321,-455,-565,-516,-269,-662,-590,-719,-683,-649,-517,-304,-334,-641,-630,,,,,,,,
Portugal,-296,-147,-58,-160,-117,-294,-478,-366,-394,-483,-280,-158,-20,121,102,-88,-138,-259,-230,-317,-291,-2,-293,-428,-344,-154,-234,-54,342,,,,,
Slovakia,-78,-59,-92,-69,-29,-89,-9,-101,-41,-62,-67,15,-109,-72,-153,-184,-156,-158,-129,-134,-157,-197,-174,-163,-227,-207,-831,,,,,,,
Slovenia,-23,-23,-26,-6,9,-17,35,-24,-32,-35,-21,-10,-62,-341,,,,,,,,,,,,,,,,,,,,
Spain,-966,-463,-95,-578,-504,-679,-1019,-1417,-1836,-1083,-339,3163,9807,11334,7998,3984,1285,-134,-306,-1249,-1109,-1484,-1431,-1649,-1403,-1082,-1484,-727,-724,-539,-242,,,
Sweden,-156,-74,-131,-220,-90,-202,-104,-161,-162,-114,-205,-61,121,475,671,635,390,372,327,147,92,-158,-54,-69,-114,-105,-203,-191,-244,-215,-213,-206,-328,
Switzerland,-160,-117,-73,-65,-53,-96,-102,-122,-149,-132,-91,58,157,423,204,144,-41,-149,-211,-230,-186,-271,-193,-213,-206,-182,-184,-186,-250,-269,-211,,,
