Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Armenia,123,305,376,407,431,448,481,492,577,712,636,628,483,454,453,474,453,477,489,519,601,550,728,906,1085,1273,,,,,,,,
Austria,-200,-355,-344,-312,-184,-341,-433,-538,-585,-595,-588,-350,-232,11,258,438,556,571,650,675,733,731,808,825,829,865,984,986,957,907,,,,
Belgium,-165,-217,-335,-562,-717,-1045,-1268,-1464,-1773,-2016,-2139,-1914,-959,939,3125,4771,5766,6164,6513,6567,6661,6702,6614,6642,6522,6581,6317,6122,6048,5836,5866,5965,,
Bulgaria,-483,-785,-1138,-1258,-1293,-1264,-1262,-1394,-1502,-1734,-1870,-2002,-2080,-2187,-2246,-2306,-2391,-2522,-2651,-2547,-2641,-2802,-2819,-2823,-2878,-2942,-2719,-2634,-2682,-2694,-2519,-2431,-2359,
Czechia,-65,-97,-247,-305,-354,-473,-589,-751,-869,-997,-1033,-982,-897,-746,-628,-578,-663,-584,-618,-582,-665,-781,-620,-613,-551,-458,-409,,,,,,,
Denmark,-5,29,-4,-78,-140,-201,-311,-433,-594,-703,-798,-782,-759,-662,-588,-539,-440,-431,-422,-446,-420,-426,-439,-418,-441,-395,-343,-331,-267,-308,-297,-339,,
Estonia,-49,-63,-77,-113,-145,-211,-211,-216,-236,-277,-262,-262,-251,-238,-228,-218,-177,-163,-134,-151,-159,-134,-142,-132,-131,-105,-97,-94,-85,-71,-41,-47,-39,
Finland,-120,-233,-348,-436,-501,-509,-510,-515,-587,-589,-586,-552,-508,-478,-345,-308,-186,-96,-17,113,108,142,155,201,293,351,391,370,413,358,316,-14,,
France,-720,-1104,-1738,-2473,-3026,-3808,-4580,-5629,-6536,-7008,-6515,-4334,193,7603,13962,18330,20197,20695,21073,21264,21826,21975,22096,22330,22317,22929,22004,21778,20615,,,,,
Germany,-466,-626,-983,-1902,-2485,-3793,-4823,-6889,-8965,-10633,-11231,-11083,-10352,-8216,-5638,-3763,-2669,-1771,-1498,-1431,-907,-1006,-280,249,-13,581,413,317,-218,-1277,,,,
Hungary,-276,-613,-955,-1252,-1509,-1944,-2178,-2549,-2663,-2870,-3002,-2837,-2839,-2825,-2731,-2654,-2734,-2853,-2875,-2804,-2972,-3068,-2939,-2950,-3139,-3099,-3079,-3250,-3482,-3792,,,,
Iceland,11,18,26,36,30,29,31,33,32,37,33,31,26,32,37,48,39,42,37,36,42,50,39,38,31,18,10,17,20,10,9,7,4,-26
Italy,-1964,-3635,-4991,-5889,-6834,-7619,-8171,-8853,-8990,-7821,-2832,6247,16704,24567,30733,34891,37331,38535,39172,39475,39144,38554,37769,36571,35795,35664,,,,,,,,
Latvia,-15,-47,-140,-202,-257,-313,-375,-455,-637,-776,-857,-895,-962,-983,-1068,-1047,-1060,-1038,-1001,-1011,-976,-997,-995,-948,-978,-999,-890,-929,-957,-960,-956,-970,-953,-901
Liechtenstein,-5,-6,-7,-5,-8,-5,0,1,1,0,-4,-6,-3,-1,1,-3,-3,-1,2,4,2,1,0,0,0,-3,0,-4,-4,-10,-12,,,
Lithuania,-325,-392,-529,-677,-795,-951,-1014,-1191,-1263,-1277,-1401,-1362,-1377,-1364,-1380,-1406,-1379,-1440,-1397,-1417,-1460,-1489,-1487,-1383,-1330,-1258,-1199,-1219,-1204,-1236,-1309,-1195,-1129,
Luxembourg,-24,-31,-29,-31,-40,-47,-75,-81,-94,-105,-96,-93,-67,-61,-16,-6,3,1,19,25,26,36,35,30,41,40,,,,,,,,
Montenegro,-13,-47,-57,-70,-79,-63,-62,-68,-94,-97,-105,-114,-85,-107,-107,-116,-141,-152,-167,-168,-167,-168,,,,,,,,,,,,
Netherlands,-180,-170,-306,-599,-749,-847,-983,-1415,-1630,-1867,-1843,-1299,116,2288,4415,5881,6987,7633,7830,7877,7921,7929,7964,8019,8086,8080,7967,7928,7766,,,,,
Norway,-64,-34,-106,-129,-209,-275,-294,-348,-388,-458,-462,-475,-403,-371,-318,-271,-277,-267,-267,-307,-300,-353,-393,-388,-378,-434,-499,-559,-548,-562,-549,-605,-744,
Poland,-66,-341,-825,-1425,-1743,-2221,-2479,-2799,-3118,-3389,-3392,-3353,-3355,-3325,-3143,-2573,-2454,-2125,-1841,-1459,-1187,-799,-208,328,554,908,,,,,,,,
Portugal,-296,-450,-547,-711,-720,-891,-1260,-1412,-1576,-1741,-1674,-1455,-1080,-615,-120,253,568,750,991,1085,1224,1633,1769,1757,1706,1961,2161,2494,3217,,,,,
Slovakia,-78,-137,-257,-317,-387,-487,-502,-609,-656,-684,-679,-577,-581,-522,-580,-637,-678,-699,-675,-653,-677,-741,-757,-817,-930,-998,-1707,,,,,,,
Slovenia,-23,-53,-90,-111,-124,-136,-99,-114,-143,-130,-136,-112,-149,-445,,,,,,,,,,,,,,,,,,,,
Spain,-966,-1640,-1994,-2516,-2872,-3192,-3771,-4622,-5743,-5911,-5142,-711,10234,22768,32008,37345,40001,41316,42348,42401,42619,42553,42429,42100,41780,41812,41150,41283,41491,41942,42579,,,
Sweden,-156,-219,-339,-533,-573,-736,-838,-1054,-1252,-1342,-1511,-1446,-1230,-651,170,933,1505,2093,2635,3049,3404,3497,3707,3903,4033,4139,4121,4120,4054,4022,3965,3963,3833,
Switzerland,-160,-282,-365,-414,-462,-583,-710,-855,-1037,-1131,-1134,-951,-626,-63,332,662,823,838,812,779,749,676,666,651,601,553,498,444,284,132,52,,,
