Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
AUT,-200,-355,-344,-312,-184,-341,-433,-537,-584,-594,-587,-349,-231,12,259,439,557,572,651,676,734,732,809,826,830,866,987,992,964,918,928,925,1078,,,,,,,,,,,,,,,,,,,
BEL,-165,-217,-335,-562,-717,-1045,-1268,-1464,-1773,-2016,-2139,-1914,-959,939,3125,4771,5766,6164,6513,6567,6661,6702,6614,6642,6522,6581,6317,6122,6048,5836,5866,5965,,,,,,,,,,,,,,,,,,,,
BGR,-482,-784,-1137,-1257,-1291,-1260,-1257,-1388,-1496,-1727,-1863,-1993,-2071,-2177,-2235,-2295,-2377,-2508,-2636,-2530,-2623,-2784,-2800,-2805,-2857,-2920,-2695,-2607,-2654,-2663,-2487,-2388,-2303,-2290,,,,,,,,,,,,,,,,,,
CHE,-160,-282,-364,-413,-461,-579,-706,-851,-1032,-1125,-1126,-943,-616,-49,349,682,844,859,835,803,778,712,706,700,659,620,578,535,392,302,324,195,83,,,,,,,,,,,,,,,,,,,
CZE,-65,-96,-247,-305,-353,-472,-587,-749,-867,-995,-1031,-980,-895,-744,-626,-576,-661,-582,-616,-580,-663,-779,-618,-611,-546,-446,-363,-420,,,,,,,,,,,,,,,,,,,,,,,,
DEUTNP,-466,-625,-977,-1893,-2472,-3779,-4803,-6863,-8934,-10598,-11187,-11030,-10292,-8147,-5558,-3868,-2762,-1860,-1576,-1495,-953,-1036,-286,274,50,690,587,562,151,-728,-932,-520,,,,,,,,,,,,,,,,,,,,
DNK,-5,29,-4,-78,-140,-201,-311,-433,-594,-703,-798,-782,-759,-662,-587,-538,-439,-430,-418,-442,-416,-422,-435,-414,-437,-391,-337,-324,-259,-300,-285,-287,-244,-248,,,,,,,,,,,,,,,,,,
ESP,-966,-1639,-1995,-2520,-2876,-3195,-3774,-4626,-5747,-5918,-5150,-718,10226,22762,32003,37344,40002,41316,42346,42405,42621,42552,42427,42099,41781,41819,41166,41310,41548,42083,43195,44161,44635,,,,,,,,,,,,,,,,,,,
EST,-49,-63,-77,-113,-145,-211,-211,-216,-236,-277,-261,-261,-250,-237,-227,-217,-176,-161,-132,-149,-157,-132,-140,-130,-129,-103,-95,-92,-83,-69,-37,-41,-33,-42,,,,,,,,,,,,,,,,,,
FIN,-120,-233,-346,-435,-500,-508,-509,-514,-586,-587,-584,-550,-506,-476,-343,-307,-184,-94,-14,116,112,147,161,208,301,363,405,389,442,404,407,353,38,,,,,,,,,,,,,,,,,,,
FRATNP,-724,-1098,-1720,-2467,-3016,-3809,-4585,-5660,-6550,-7050,-6559,-4391,134,7532,13890,18230,20112,20565,20917,21098,21653,21760,21884,22080,22039,22646,21720,21509,20427,18697,,,,,,,,,,,,,,,,,,,,,,
GBR_SCO,-115,-108,-168,-258,-350,-388,-485,-570,-563,-584,-555,-479,-519,127,1005,1854,2603,3203,3604,3961,4141,4252,4289,4323,4369,4351,4316,4267,4304,4287,4336,4335,,,,,,,,,,,,,,,,,,,,
GBRTENW,54,290,67,-839,-1429,-2366,-3043,-3747,-4111,-4708,-4894,-4815,-3795,2289,10288,22149,33689,41709,44793,49177,51528,53179,53914,54474,54411,54097,54053,53494,53225,53064,52978,52823,53128,53601,,,,,,,,,,,,,,,,,,
GRC,-77,-125,-100,-111,91,261,507,502,567,786,984,1190,1326,1428,1476,1491,1447,1479,1436,1777,2037,1769,1694,1642,1606,1402,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,-276,-613,-955,-1252,-1509,-1944,-2178,-2549,-2663,-2870,-3002,-2837,-2839,-2825,-2731,-2654,-2734,-2853,-2875,-2804,-2972,-3068,-2936,-2946,-3132,-3081,-3043,-3206,-3420,-3695,-3813,,,,,,,,,,,,,,,,,,,,,
ISL,11,18,26,36,30,29,31,33,32,37,33,31,26,32,37,48,39,42,37,36,42,50,39,38,31,18,10,17,20,10,9,7,4,,,,,,,,,,,,,,,,,,,
ISR,80,36,101,53,-12,-120,-143,-139,-198,-209,-168,-139,-49,111,151,252,297,311,351,395,556,603,633,663,691,707,711,784,848,849,965,920,833,,,,,,,,,,,,,,,,,,,
ITA,-1748,-3211,-4360,-5058,-5795,-6384,-6746,-7223,-7165,-5803,-640,8606,19236,27268,33612,37940,40547,41915,42708,43157,42975,42538,41903,40864,40240,40261,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,-55,-129,-262,-389,-538,-676,-743,-932,-991,-1059,-1107,-1109,-1082,-1103,-1090,-1093,-1072,-1052,-1098,-1105,-1167,-1172,-1183,-1078,-1030,-951,-962,-966,-914,-969,-968,,,,,,,,,,,,,,,,,,,,,
LUX,-24,-31,-29,-31,-40,-47,-75,-81,-94,-105,-96,-93,-67,-61,-16,-6,3,1,19,25,26,36,35,30,41,40,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,-15,-47,-140,-202,-257,-313,-375,-455,-637,-776,-857,-895,-962,-983,-1068,-1047,-1060,-1038,-1001,-1011,-976,-997,-995,-948,-978,-999,-890,-929,-957,-960,-956,-970,-953,-901,-877,,,,,,,,,,,,,,,,,
NLD,-180,-169,-305,-598,-749,-846,-982,-1414,-1629,-1867,-1843,-1299,116,2288,4416,5881,6988,7634,7830,7878,7922,7930,7965,8020,8087,8081,7968,7929,7767,7745,7784,7779,8378,8604,,,,,,,,,,,,,,,,,,
NOR,-64,-34,-105,-128,-208,-274,-293,-347,-387,-456,-460,-470,-398,-366,-313,-264,-270,-260,-257,-297,-290,-343,-382,-378,-365,-421,-479,-533,-516,-517,-484,-505,-548,-678,,,,,,,,,,,,,,,,,,
POL,-66,-341,-825,-1425,-1743,-2221,-2479,-2799,-3118,-3389,-3392,-3353,-3355,-3325,-3143,-2573,-2454,-2125,-1841,-1459,-1187,-799,-208,328,554,908,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,-296,-450,-547,-711,-720,-891,-1260,-1412,-1576,-1741,-1674,-1455,-1080,-615,-120,253,568,750,991,1085,1224,1633,1769,1757,1706,1961,2161,2494,3217,,,,,,,,,,,,,,,,,,,,,,,
RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,-74,-133,-253,-313,-383,-481,-495,-601,-646,-674,-668,-564,-567,-507,-562,-616,-655,-672,-641,-617,-635,-693,-673,-685,-753,-764,-781,-826,-898,-1045,,,,,,,,,,,,,,,,,,,,,,
SVN,-23,-53,-90,-111,-124,-136,-99,-114,-143,-130,-136,-112,-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,-156,-219,-339,-533,-573,-736,-838,-1054,-1252,-1342,-1511,-1446,-1230,-651,170,933,1505,2093,2635,3049,3404,3497,3707,3903,4034,4140,4121,4120,4054,4023,3978,4000,3953,3874,,,,,,,,,,,,,,,,,,
USA,79,-300,-984,-957,-502,432,1309,2837,5152,7475,9393,12346,20110,37185,61473,84303,105022,121190,135521,147990,157994,166205,173276,179593,185911,192626,199520,207650,216171,224907,231594,234016,226616,,,,,,,,,,,,,,,,,,,
